rank,candidate_type,candidate_id,candidate_name,primary_date_or_window,score,confidence_level,plain_english_summary,supporting_evidence,limitations,next_check,source_report
21,close_approach_window,CAW_0052,CAW_0052,2003-03-01 to 2003-03-15,100.0,high relative priority,CAW_0052 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 6 close approaches; closest distance 0.003622675311 au. Score: 100.0.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
22,close_approach_window,CAW_0014,CAW_0014,2000-10-15 to 2000-10-29,100.0,high relative priority,CAW_0014 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 6 close approaches; closest distance 0.004723443992 au. Score: 100.0.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
23,close_approach_window,CAW_0086,CAW_0086,2004-10-28 to 2004-11-11,100.0,high relative priority,CAW_0086 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 6 close approaches; closest distance 0.005198443955 au. Score: 100.0.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
24,close_approach_window,CAW_0088,CAW_0088,2004-11-27 to 2004-12-11,100.0,high relative priority,CAW_0088 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 6 close approaches; closest distance 0.006223646646 au. Score: 100.0.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
25,close_approach_window,CAW_0029,CAW_0029,2001-09-26 to 2001-10-10,100.0,high relative priority,CAW_0029 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 6 close approaches; closest distance 0.006432484629 au. Score: 100.0.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
26,close_approach_window,CAW_0076,CAW_0076,2004-05-09 to 2004-05-23,100.0,high relative priority,CAW_0076 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 6 close approaches; closest distance 0.007765382138 au. Score: 100.0.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
27,close_approach_window,CAW_0062,CAW_0062,2003-09-10 to 2003-09-24,100.0,high relative priority,CAW_0062 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 5 close approaches; closest distance 0.001082097629 au. Score: 100.0.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
28,close_approach_window,CAW_0071,CAW_0071,2004-02-17 to 2004-03-02,100.0,high relative priority,CAW_0071 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 5 close approaches; closest distance 0.002824980321 au. Score: 100.0.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
29,close_approach_window,CAW_0081,CAW_0081,2004-08-06 to 2004-08-20,100.0,high relative priority,CAW_0081 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 5 close approaches; closest distance 0.004108878368 au. Score: 100.0.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
30,close_approach_window,CAW_0038,CAW_0038,2002-03-11 to 2002-03-25,100.0,high relative priority,CAW_0038 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 5 close approaches; closest distance 0.004154965126 au. Score: 100.0.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
31,close_approach_window,CAW_0068,CAW_0068,2003-12-21 to 2004-01-04,100.0,high relative priority,CAW_0068 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 5 close approaches; closest distance 0.004227470699 au. Score: 100.0.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
32,close_approach_window,CAW_0047,CAW_0047,2002-10-01 to 2002-10-15,100.0,high relative priority,CAW_0047 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 5 close approaches; closest distance 0.005105469679 au. Score: 100.0.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
33,close_approach_window,CAW_0082,CAW_0082,2004-08-21 to 2004-09-04,100.0,high relative priority,CAW_0082 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 5 close approaches; closest distance 0.006339430801 au. Score: 100.0.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
34,close_approach_window,CAW_0053,CAW_0053,2003-03-22 to 2003-04-05,100.0,high relative priority,CAW_0053 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 5 close approaches; closest distance 0.007209579201 au. Score: 100.0.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
35,high_energy_fireball_window,HEF_0031,HEF_0031,2014-08-23 to 2014-09-06,99.2,high relative priority,HEF_0031 groups high-energy fireballs into a short time window.,Pattern source: high_energy_fireball_windows.csv. Reason: 3 high-energy fireballs; total energy 7.84 kt. Score: 99.2.,A high-energy window can be dominated by one large bolide and does not automatically prove a debris stream.,"Check whether the dates line up with known meteor showers, Taurid activity, Perseids, Geminids, Leonids, or sporadic fireball seasonality.",high_energy_fireball_windows.csv
36,close_approach_window,CAW_0063,CAW_0063,2003-09-27 to 2003-10-11,98.874,high relative priority,CAW_0063 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 4 close approaches; closest distance 0.000563056369 au. Score: 98.874.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
37,close_approach_window,CAW_0066,CAW_0066,2003-11-16 to 2003-11-30,98.598,high relative priority,CAW_0066 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 5 close approaches; closest distance 0.008201179364 au. Score: 98.598.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
38,close_approach_window,CAW_0080,CAW_0080,2004-07-11 to 2004-07-25,97.785,high relative priority,CAW_0080 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 4 close approaches; closest distance 0.001107447572 au. Score: 97.785.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
39,close_approach_window,CAW_0079,CAW_0079,2004-06-26 to 2004-07-10,96.326,high relative priority,CAW_0079 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 4 close approaches; closest distance 0.001837096649 au. Score: 96.326.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
40,close_approach_window,CAW_0064,CAW_0064,2003-10-12 to 2003-10-26,96.293,high relative priority,CAW_0064 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 4 close approaches; closest distance 0.001853645399 au. Score: 96.293.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
41,high_energy_fireball_window,HEF_0044,HEF_0044,2015-06-02 to 2015-06-16,94.55,high relative priority,HEF_0044 groups high-energy fireballs into a short time window.,Pattern source: high_energy_fireball_windows.csv. Reason: 4 high-energy fireballs; total energy 2.91 kt. Score: 94.55.,A high-energy window can be dominated by one large bolide and does not automatically prove a debris stream.,"Check whether the dates line up with known meteor showers, Taurid activity, Perseids, Geminids, Leonids, or sporadic fireball seasonality.",high_energy_fireball_windows.csv
42,close_approach_window,CAW_0039,CAW_0039,2002-03-31 to 2002-04-14,94.406,high relative priority,CAW_0039 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 4 close approaches; closest distance 0.002796809763 au. Score: 94.406.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
43,high_energy_fireball_window,HEF_0177,HEF_0177,2024-07-12 to 2024-07-26,94.3,high relative priority,HEF_0177 groups high-energy fireballs into a short time window.,Pattern source: high_energy_fireball_windows.csv. Reason: 3 high-energy fireballs; total energy 6.86 kt. Score: 94.3.,A high-energy window can be dominated by one large bolide and does not automatically prove a debris stream.,"Check whether the dates line up with known meteor showers, Taurid activity, Perseids, Geminids, Leonids, or sporadic fireball seasonality.",high_energy_fireball_windows.csv
44,high_energy_fireball_window,HEF_0007,HEF_0007,2012-09-28 to 2012-10-12,94.0,high relative priority,HEF_0007 groups high-energy fireballs into a short time window.,Pattern source: high_energy_fireball_windows.csv. Reason: 4 high-energy fireballs; total energy 2.8 kt. Score: 94.0.,A high-energy window can be dominated by one large bolide and does not automatically prove a debris stream.,"Check whether the dates line up with known meteor showers, Taurid activity, Perseids, Geminids, Leonids, or sporadic fireball seasonality.",high_energy_fireball_windows.csv
45,close_approach_window,CAW_0048,CAW_0048,2002-10-27 to 2002-11-10,93.151,high relative priority,CAW_0048 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 5 close approaches; closest distance 0.010924713455 au. Score: 93.151.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
46,high_energy_fireball_window,HEF_0188,HEF_0188,2025-03-13 to 2025-03-27,92.1,high relative priority,HEF_0188 groups high-energy fireballs into a short time window.,Pattern source: high_energy_fireball_windows.csv. Reason: 4 high-energy fireballs; total energy 2.42 kt. Score: 92.1.,A high-energy window can be dominated by one large bolide and does not automatically prove a debris stream.,"Check whether the dates line up with known meteor showers, Taurid activity, Perseids, Geminids, Leonids, or sporadic fireball seasonality.",high_energy_fireball_windows.csv
47,high_energy_fireball_window,HEF_0103,HEF_0103,2019-05-19 to 2019-06-02,92.0,high relative priority,HEF_0103 groups high-energy fireballs into a short time window.,Pattern source: high_energy_fireball_windows.csv. Reason: 4 high-energy fireballs; total energy 2.4 kt. Score: 92.0.,A high-energy window can be dominated by one large bolide and does not automatically prove a debris stream.,"Check whether the dates line up with known meteor showers, Taurid activity, Perseids, Geminids, Leonids, or sporadic fireball seasonality.",high_energy_fireball_windows.csv
48,close_approach_window,CAW_0084,CAW_0084,2004-09-28 to 2004-10-12,90.774,high relative priority,CAW_0084 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 4 close approaches; closest distance 0.004612788129 au. Score: 90.774.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
49,close_approach_window,CAW_0077,CAW_0077,2004-05-25 to 2004-06-08,90.687,high relative priority,CAW_0077 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 4 close approaches; closest distance 0.004656372538 au. Score: 90.687.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
50,close_approach_window,CAW_0017,CAW_0017,2000-12-17 to 2000-12-31,90.103,high relative priority,CAW_0017 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 4 close approaches; closest distance 0.004948516116 au. Score: 90.103.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
51,fireball_month_cluster,month_2,Month 2,month=2,89.423,high relative priority,Month 2 is showing repeated fireball activity inside the fetched CNEOS fireball sample.,Pattern source: fireball_month_clusters.csv. Reason: 47 fireballs; total energy 478.842 kt. Score: 89.423.,"Monthly clustering can be affected by seasonal observation geometry, sensor coverage, reporting bias, and the limited 500-row sample.",Compare this month against known meteor showers and extend the fireball limit/date coverage.,fireball_month_clusters.csv
52,high_energy_fireball_window,HEF_0015,HEF_0015,2013-07-27 to 2013-08-10,88.55,high relative priority,HEF_0015 groups high-energy fireballs into a short time window.,Pattern source: high_energy_fireball_windows.csv. Reason: 4 high-energy fireballs; total energy 1.71 kt. Score: 88.55.,A high-energy window can be dominated by one large bolide and does not automatically prove a debris stream.,"Check whether the dates line up with known meteor showers, Taurid activity, Perseids, Geminids, Leonids, or sporadic fireball seasonality.",high_energy_fireball_windows.csv
53,close_approach_window,CAW_0009,CAW_0009,2000-06-29 to 2000-07-13,88.266,high relative priority,CAW_0009 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 4 close approaches; closest distance 0.005867009428 au. Score: 88.266.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
54,close_approach_window,CAW_0020,CAW_0020,2001-02-19 to 2001-03-05,88.081,high relative priority,CAW_0020 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 4 close approaches; closest distance 0.005959513644 au. Score: 88.081.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
55,close_approach_window,CAW_0030,CAW_0030,2001-10-21 to 2001-11-04,87.45,high relative priority,CAW_0030 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 4 close approaches; closest distance 0.006274770527 au. Score: 87.45.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
56,close_approach_window,CAW_0058,CAW_0058,2003-06-13 to 2003-06-27,86.215,high relative priority,CAW_0058 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 4 close approaches; closest distance 0.006892646262 au. Score: 86.215.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
57,high_energy_fireball_window,HEF_0166,HEF_0166,2023-10-14 to 2023-10-28,86.2,high relative priority,HEF_0166 groups high-energy fireballs into a short time window.,Pattern source: high_energy_fireball_windows.csv. Reason: 4 high-energy fireballs; total energy 1.24 kt. Score: 86.2.,A high-energy window can be dominated by one large bolide and does not automatically prove a debris stream.,"Check whether the dates line up with known meteor showers, Taurid activity, Perseids, Geminids, Leonids, or sporadic fireball seasonality.",high_energy_fireball_windows.csv
58,high_energy_fireball_window,HEF_0112,HEF_0112,2020-01-06 to 2020-01-20,86.15,high relative priority,HEF_0112 groups high-energy fireballs into a short time window.,Pattern source: high_energy_fireball_windows.csv. Reason: 4 high-energy fireballs; total energy 1.23 kt. Score: 86.15.,A high-energy window can be dominated by one large bolide and does not automatically prove a debris stream.,"Check whether the dates line up with known meteor showers, Taurid activity, Perseids, Geminids, Leonids, or sporadic fireball seasonality.",high_energy_fireball_windows.csv
59,high_energy_fireball_window,HEF_0023,HEF_0023,2014-01-08 to 2014-01-22,85.95,high relative priority,HEF_0023 groups high-energy fireballs into a short time window.,Pattern source: high_energy_fireball_windows.csv. Reason: 4 high-energy fireballs; total energy 1.19 kt. Score: 85.95.,A high-energy window can be dominated by one large bolide and does not automatically prove a debris stream.,"Check whether the dates line up with known meteor showers, Taurid activity, Perseids, Geminids, Leonids, or sporadic fireball seasonality.",high_energy_fireball_windows.csv
60,high_energy_fireball_window,HEF_0107,HEF_0107,2019-09-12 to 2019-09-26,85.4,high relative priority,HEF_0107 groups high-energy fireballs into a short time window.,Pattern source: high_energy_fireball_windows.csv. Reason: 4 high-energy fireballs; total energy 1.08 kt. Score: 85.4.,A high-energy window can be dominated by one large bolide and does not automatically prove a debris stream.,"Check whether the dates line up with known meteor showers, Taurid activity, Perseids, Geminids, Leonids, or sporadic fireball seasonality.",high_energy_fireball_windows.csv
61,high_energy_fireball_window,HEF_0041,HEF_0041,2015-03-30 to 2015-04-13,85.15,high relative priority,HEF_0041 groups high-energy fireballs into a short time window.,Pattern source: high_energy_fireball_windows.csv. Reason: 4 high-energy fireballs; total energy 1.03 kt. Score: 85.15.,A high-energy window can be dominated by one large bolide and does not automatically prove a debris stream.,"Check whether the dates line up with known meteor showers, Taurid activity, Perseids, Geminids, Leonids, or sporadic fireball seasonality.",high_energy_fireball_windows.csv
62,high_energy_fireball_window,HEF_0116,HEF_0116,2020-05-09 to 2020-05-23,84.45,high relative priority,HEF_0116 groups high-energy fireballs into a short time window.,Pattern source: high_energy_fireball_windows.csv. Reason: 4 high-energy fireballs; total energy 0.89 kt. Score: 84.45.,A high-energy window can be dominated by one large bolide and does not automatically prove a debris stream.,"Check whether the dates line up with known meteor showers, Taurid activity, Perseids, Geminids, Leonids, or sporadic fireball seasonality.",high_energy_fireball_windows.csv
63,high_energy_fireball_window,HEF_0043,HEF_0043,2015-05-07 to 2015-05-21,84.25,high relative priority,HEF_0043 groups high-energy fireballs into a short time window.,Pattern source: high_energy_fireball_windows.csv. Reason: 4 high-energy fireballs; total energy 0.85 kt. Score: 84.25.,A high-energy window can be dominated by one large bolide and does not automatically prove a debris stream.,"Check whether the dates line up with known meteor showers, Taurid activity, Perseids, Geminids, Leonids, or sporadic fireball seasonality.",high_energy_fireball_windows.csv
